Female,18-24,25-34,35-44,45-54,55-64,65+,18-24,25-34,35-44,45-54,55-64,65+
2000,440,2055,1755,1030,350,95,430,3705,4545,3125,1305,310
2001,495,2035,1700,955,350,105,515,3880,4865,3195,1475,290
2002,590,2155,1870,1130,450,140,615,3780,4855,3020,1615,420
2003,815,2550,2290,1320,625,195,830,4250,5430,3500,1870,475
2004,1235,3560,3215,1770,950,315,1320,5270,6500,4045,2260,630
2005,1775,4760,4525,2730,1425,455,1615,6505,8305,5245,3050,940
2006,2040,6440,6355,3815,2130,755,1825,8355,11075,7140,4185,1380
2007,1655,6585,6870,4170,2315,895,1335,8120,11325,7630,4365,1480
2008,1560,6680,6895,4520,2290,860,1255,8415,12250,8585,4560,1580
2009,1435,8275,9320,6340,2960,1055,1300,10135,14845,10655,5245,1755
2010,835,5280,5815,4180,1915,760,750,7035,10665,8140,4185,1490
2011,385,4235,5125,4000,1775,725,350,4505,7200,6355,3160,1225
2012,225,3075,3940,3340,1355,535,190,3165,5695,5435,2565,970
2013,155,2185,2865,2660,1165,440,130,2360,4335,4105,2070,755
2014,95,1740,2455,2325,995,360,115,1830,3420,3695,1895,680
2015,70,1240,1995,1750,795,270,110,1435,2730,2990,1550,605
2016,80,1225,1805,1580,700,295,130,1505,2600,2720,1445,595
2017,105,1255,1855,1620,635,295,165,1560,2690,2695,1420,580
2018,150,1400,2100,1775,765,330,220,1840,3165,3060,1695,710
